,Date,Section,Metric,Value
0,1975-03-23,,69,70.3
1,1975-03-23,,51,49.5
2,1975-03-23,,57.58,59.9
3,1975-03-23,,0.00,--
4,1975-03-23,,33.42,-
5,1975-03-23,,42,-
6,1975-03-23,,0,-
7,1975-03-23,,33.42,-
8,1975-03-23,,23,-
9,1975-03-23,,40,-
10,1975-03-23,,29.26,-
11,1975-03-23,,12h 14m,6:53 AM
12,1975-03-23,,,6:28 AM
13,1975-03-23,,,5:59 AM
14,1975-03-23,,,5:29 AM
15,1975-03-23,,,3:14 PM
16,1975-06-22,,86,82
17,1975-06-22,,0,60.8
18,1975-06-22,,57.42,71.4
19,1975-06-22,,0.00,--
20,1975-06-22,,44.69,-
21,1975-06-22,,61,-
22,1975-06-22,,0,-
23,1975-06-22,,44.69,-
24,1975-06-22,,9,-
25,1975-06-22,,10,-
26,1975-06-22,,29.17,-
27,1975-06-22,,14h 26m,5:43 AM
28,1975-06-22,,,5:14 AM
29,1975-06-22,,,4:38 AM
30,1975-06-22,,,3:58 AM
31,1975-06-22,,,7:26 PM
32,1975-09-21,,95,85.4
33,1975-09-21,,61,62.4
34,1975-09-21,,76.13,73.9
35,1975-09-21,,0.00,--
36,1975-09-21,,59.71,-
37,1975-09-21,,65,-
38,1975-09-21,,54,-
39,1975-09-21,,59.71,-
40,1975-09-21,,9,-
41,1975-09-21,,20,-
42,1975-09-21,,29.11,-
43,1975-09-21,,12h 11m,6:42 AM
44,1975-09-21,,,6:17 AM
45,1975-09-21,,,5:47 AM
46,1975-09-21,,,5:18 AM
47,1975-09-21,,,7:22 PM
48,1975-12-21,,67,65.6
49,1975-12-21,,43,44
50,1975-12-21,,53.61,54.8
51,1975-12-21,,0.00,--
52,1975-12-21,,44.09,-
53,1975-12-21,,48,-
54,1975-12-21,,40,-
55,1975-12-21,,44.09,-
56,1975-12-21,,6,-
57,1975-12-21,,15,-
58,1975-12-21,,29.4,-
59,1975-12-21,,9h 52m,6:56 AM
60,1975-12-21,,,6:29 AM
61,1975-12-21,,,5:57 AM
62,1975-12-21,,,5:27 AM
63,1975-12-21,,,8:25 PM
64,1976-03-22,,85,70.2
65,1976-03-22,,52,49.4
66,1976-03-22,,69.32,59.8
67,1976-03-22,,0.00,--
68,1976-03-22,,29.59,-
69,1976-03-22,,35,-
70,1976-03-22,,25,-
71,1976-03-22,,29.59,-
72,1976-03-22,,14,-
73,1976-03-22,,50,-
74,1976-03-22,,29.22,-
75,1976-03-22,,12h 13m,5:54 AM
76,1976-03-22,,,5:29 AM
77,1976-03-22,,,4:59 AM
78,1976-03-22,,,4:30 AM
79,1976-03-22,,,12:36 AM
