industry,link
Architecture and Engineering,https://www.bls.gov/ooh/architecture-and-engineering/home.htm
Arts and Design,https://www.bls.gov/ooh/arts-and-design/home.htm
Building and Grounds Cleaning    ,https://www.bls.gov/ooh/building-and-grounds-cleaning/home.htm
Business and Financial,https://www.bls.gov/ooh/business-and-financial/home.htm
Community and Social Service,https://www.bls.gov/ooh/community-and-social-service/home.htm
Computer and Information Technology,https://www.bls.gov/ooh/computer-and-information-technology/home.htm
Construction and Extraction,https://www.bls.gov/ooh/construction-and-extraction/home.htm
"Education, Training, and Library",https://www.bls.gov/ooh/education-training-and-library/home.htm
Entertainment and Sports,https://www.bls.gov/ooh/entertainment-and-sports/home.htm
"Farming, Fishing, and Forestry",https://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm
Food Preparation and Serving,https://www.bls.gov/ooh/food-preparation-and-serving/home.htm
Healthcare,https://www.bls.gov/ooh/healthcare/home.htm
"Installation, Maintenance, and Repair",https://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm
Legal,https://www.bls.gov/ooh/legal/home.htm
"Life, Physical, and Social Science",https://www.bls.gov/ooh/life-physical-and-social-science/home.htm
Management,https://www.bls.gov/ooh/management/home.htm
Math,https://www.bls.gov/ooh/math/home.htm
Media and Communication,https://www.bls.gov/ooh/media-and-communication/home.htm
Military,https://www.bls.gov/ooh/military/military-careers.htm
Office and Administrative Support,https://www.bls.gov/ooh/office-and-administrative-support/home.htm
Personal Care and Service,https://www.bls.gov/ooh/personal-care-and-service/home.htm
Production,https://www.bls.gov/ooh/production/home.htm
Protective Service,https://www.bls.gov/ooh/protective-service/home.htm
Sales,https://www.bls.gov/ooh/sales/home.htm
Transportation and Material Moving,https://www.bls.gov/ooh/transportation-and-material-moving/home.htm
